Date,Waste_Type,Temperature,Moisture_Content,pH_Level,Oxygen_Level,Carbon_Nitrogen_Ratio,Nitrogen_Content,Potassium_Content,Phosphorus_Content,Ambient_Humidity,Ambient_Temperature,Waste_Height,Particle_Size,Bulk_Density,Odor_Level,Decomposition_Rate,Time_Elapsed,Maturity_Index,Turning_Frequency
2024-03-06,MIXED,64.04,49.87,7.98,7.06,28.69,1.7,1.23,0.72,48.99,30.29,118.6,24.32,415.0,2.37,1.24,52.18,7.14,3.24
2024-03-07,MIXED,65.0,51.1,7.79,8.17,29.15,1.89,1.5,0.79,70.0,35.0,138.57,5.0,354.42,2.62,2.97,55.79,7.64,3.67
2024-03-08,MIXED,61.55,58.69,7.41,7.79,27.08,1.5,1.5,0.36,64.72,30.29,111.65,36.81,582.91,5.0,1.65,72.41,7.92,4.04
2024-03-09,GREEN,65.0,55.49,7.28,9.45,27.49,1.55,1.08,0.52,70.0,35.0,107.59,9.41,641.13,3.41,1.34,64.83,7.55,3.44
2024-03-10,MIXED,58.38,60.0,6.76,8.07,29.19,1.83,1.04,0.81,70.0,22.78,96.97,38.03,334.73,3.01,2.16,72.8,7.07,4.06
2024-03-11,BROWN,59.48,59.46,6.7,7.87,26.79,1.7,1.08,0.62,70.0,35.0,142.89,47.4,377.45,2.2,2.76,70.5,7.6,6.22
2024-03-12,BROWN,56.38,54.87,7.36,13.38,29.71,1.91,0.94,0.77,52.74,35.0,137.26,45.4,337.28,2.8,1.22,66.99,7.39,4.99
2024-03-13,GREEN,61.54,44.13,6.71,12.83,27.36,1.98,0.8,0.3,61.23,28.9,150.0,10.75,351.32,1.58,2.83,86.68,7.83,6.86
2024-03-14,BROWN,65.0,53.82,7.63,8.29,28.09,1.62,1.5,0.77,70.0,22.66,132.72,30.77,358.86,4.77,2.26,70.31,7.05,6.03
2024-03-15,BROWN,55.49,60.0,6.66,6.74,30.0,1.68,1.06,0.79,70.0,25.67,123.63,34.54,397.34,2.18,2.66,59.75,7.78,3.64
2024-03-16,MIXED,56.04,48.02,7.64,8.07,29.04,1.63,0.68,0.47,68.05,24.85,91.93,34.98,587.04,2.33,2.01,32.11,7.47,6.7
2024-03-17,MIXED,65.0,59.96,7.6,8.57,28.95,1.68,0.62,1.0,56.06,23.08,102.18,16.57,562.25,2.72,2.49,59.92,7.32,4.4
2024-03-18,BROWN,65.0,45.6,6.53,10.89,26.68,1.88,0.9,0.41,46.86,32.09,130.02,25.22,626.48,2.58,1.13,54.83,7.24,5.77
2024-03-19,GREEN,65.0,60.0,6.71,14.61,28.67,1.54,0.57,0.55,70.0,35.0,144.89,17.87,616.93,2.7,2.26,81.42,7.28,3.16
2024-03-20,MIXED,65.0,47.28,6.66,11.2,29.53,1.6,0.6,0.48,51.48,35.0,134.6,18.39,526.98,2.3,1.49,85.3,7.33,5.48
2024-03-21,MIXED,65.0,48.6,7.31,8.24,25.7,1.89,1.48,0.33,42.72,17.68,94.34,46.35,300.0,2.75,1.67,47.23,7.82,5.8
2024-03-22,MIXED,57.79,56.2,6.96,9.98,28.29,1.86,0.58,0.8,49.61,18.6,116.03,23.1,646.36,1.78,2.6,39.55,7.19,5.42
2024-03-23,GREEN,60.23,45.41,6.98,14.21,27.7,1.59,0.58,0.95,46.59,18.4,149.94,19.47,623.95,5.0,2.14,76.57,7.19,6.07
2024-03-24,GREEN,57.09,55.99,7.72,14.79,29.39,1.56,1.36,0.68,64.41,25.35,126.05,45.07,490.0,3.85,3.0,44.12,7.09,4.09
2024-03-25,GREEN,65.0,55.53,6.77,6.36,25.0,1.6,0.53,0.78,56.53,17.75,145.88,38.71,404.46,2.99,1.86,56.69,7.23,4.95
2024-03-26,GREEN,57.54,53.82,7.36,12.83,26.35,1.71,1.31,0.5,70.0,35.0,93.0,17.43,503.41,1.63,1.15,43.64,7.47,5.04
2024-03-27,BROWN,61.88,54.48,7.75,5.63,29.26,1.95,0.79,0.71,60.4,26.1,108.55,19.8,472.51,1.75,2.94,36.45,7.33,5.62
2024-03-28,MIXED,65.0,50.15,7.18,11.02,27.07,2.0,1.17,0.46,66.65,33.33,125.77,46.24,474.28,3.86,1.78,79.18,7.33,5.87
2024-03-29,GREEN,65.0,59.57,6.81,5.0,25.46,1.76,1.12,0.34,65.98,35.0,110.33,41.92,508.62,2.42,2.08,85.75,7.48,3.8
2024-03-30,BROWN,65.0,49.79,7.01,14.8,29.09,1.6,0.71,0.57,62.81,35.0,120.13,16.82,511.84,1.8,1.5,39.9,7.23,4.91
2024-03-31,MIXED,65.0,50.52,7.84,11.19,26.89,1.61,1.06,0.43,57.86,35.0,124.12,41.82,386.93,4.49,1.87,53.88,7.46,5.51
2024-04-01,GREEN,58.71,60.0,6.74,10.23,25.0,2.0,0.89,0.92,70.0,22.08,96.53,29.49,317.64,4.64,2.45,66.73,7.37,4.09
2024-04-02,BROWN,65.0,48.6,7.82,8.5,26.53,1.87,1.35,0.86,56.76,27.82,147.17,13.76,647.84,1.13,1.07,65.79,7.91,5.95
2024-04-03,BROWN,53.93,60.0,7.95,7.31,29.8,1.9,0.68,0.37,49.63,33.01,97.25,8.06,480.44,3.59,1.86,71.72,7.78,6.95
2024-04-04,GREEN,65.0,50.38,7.99,5.76,27.98,1.87,1.31,0.53,59.55,24.72,117.63,8.95,322.92,4.32,1.24,51.91,7.73,5.22
2024-04-05,BROWN,56.35,51.59,7.21,8.89,25.25,1.9,0.76,0.91,70.0,26.49,126.85,17.19,564.1,1.25,2.67,38.25,7.92,5.58
2024-04-06,MIXED,65.0,45.69,7.63,8.89,29.79,1.53,0.66,0.33,47.93,25.07,140.41,24.4,438.62,3.63,2.8,84.88,7.33,6.79
2024-04-07,GREEN,65.0,60.0,6.55,10.65,26.35,1.65,1.15,0.41,70.0,35.0,131.25,13.77,353.92,4.81,2.06,46.21,7.72,5.55
2024-04-08,BROWN,57.45,60.0,6.84,6.49,29.18,1.86,0.7,0.93,46.71,21.73,135.84,21.89,583.93,4.83,1.67,60.71,7.15,6.7
2024-04-09,BROWN,65.0,52.21,7.86,7.38,28.48,1.98,1.04,1.0,50.86,35.0,106.06,13.25,391.92,4.59,1.51,31.93,7.64,5.22
2024-04-10,GREEN,64.64,49.64,6.6,12.32,28.49,1.71,0.77,0.46,66.14,35.0,123.0,21.19,429.31,2.64,1.04,71.38,7.8,4.17
2024-04-11,BROWN,65.0,60.0,7.43,5.87,27.41,1.82,1.38,0.33,69.35,35.0,90.0,20.8,498.72,1.1,1.77,85.34,7.8,6.44
2024-04-12,GREEN,65.0,60.0,7.3,13.8,27.12,1.7,0.86,0.69,70.0,34.12,138.0,11.46,591.47,3.93,2.72,41.47,7.05,3.1
2024-04-13,GREEN,65.0,50.74,7.22,12.25,27.42,1.94,0.6,0.39,67.44,35.0,130.84,13.73,575.35,3.34,2.53,87.08,7.83,7.0
2024-04-14,GREEN,65.0,48.48,6.76,14.6,28.51,1.88,1.39,0.71,69.19,18.98,122.54,38.11,552.72,1.54,2.02,57.06,7.26,4.31
2024-04-15,MIXED,63.82,47.35,7.79,6.63,28.46,1.69,0.69,0.95,60.24,27.41,110.97,5.0,499.08,4.21,1.96,47.2,7.24,5.38
2024-04-16,BROWN,62.96,60.0,6.93,8.56,29.36,1.92,0.79,0.73,61.87,22.43,142.54,5.0,409.42,2.86,2.29,69.8,7.36,3.73
2024-04-17,GREEN,59.48,60.0,6.9,6.73,28.78,1.82,0.5,0.92,50.7,19.94,105.71,28.84,446.86,3.51,2.87,48.45,7.1,5.56
2024-04-18,BROWN,65.0,53.43,6.63,7.69,29.09,1.53,0.68,0.51,61.43,27.18,102.01,23.0,556.68,2.53,1.63,65.76,7.52,4.58
2024-04-19,GREEN,59.05,60.0,7.97,9.05,26.84,1.64,0.64,0.65,54.43,33.74,136.13,38.28,489.69,1.88,1.71,78.18,7.82,6.41
2024-04-20,GREEN,64.15,59.7,7.29,8.46,25.32,1.76,0.83,0.51,70.0,19.29,94.28,47.86,562.65,2.36,2.64,56.58,7.88,4.18
2024-04-21,GREEN,64.38,48.69,7.39,10.69,26.14,1.66,1.32,0.96,70.0,26.12,108.84,36.59,583.64,1.96,1.7,70.41,7.19,3.94
2024-04-22,MIXED,61.52,55.48,6.52,15.0,25.81,1.88,1.03,0.35,46.98,20.4,145.72,9.25,489.78,2.63,2.85,30.0,7.54,5.6
2024-04-23,GREEN,65.0,57.44,6.91,7.75,25.9,1.84,1.01,1.0,51.55,23.89,146.35,25.27,611.75,3.19,2.09,61.41,7.0,6.68
2024-04-24,GREEN,58.77,57.62,7.41,5.44,26.64,1.95,1.38,0.96,59.17,21.95,109.8,27.54,461.51,3.16,2.35,62.27,7.53,6.8
2024-04-25,GREEN,59.82,60.0,7.73,6.29,29.72,1.94,0.95,0.6,67.84,22.0,133.78,42.4,557.92,4.73,2.74,54.78,7.6,6.99
2024-04-26,MIXED,65.0,59.64,7.72,12.7,25.56,1.74,1.34,0.73,55.13,35.0,119.49,15.49,414.6,1.52,1.1,55.54,7.68,4.79
2024-04-27,BROWN,65.0,55.13,7.6,10.18,28.89,1.52,1.02,0.71,58.66,26.21,113.19,13.47,582.28,4.36,2.61,42.94,7.72,3.32
2024-04-28,BROWN,65.0,43.42,7.62,13.69,28.63,1.85,1.28,0.54,66.76,18.95,111.63,33.25,400.13,4.64,2.67,61.53,7.71,5.73
