Date,Waste_Type,Temperature,Moisture_Content,pH_Level,Oxygen_Level,Carbon_Nitrogen_Ratio,Nitrogen_Content,Potassium_Content,Phosphorus_Content,Ambient_Humidity,Ambient_Temperature,Waste_Height,Particle_Size,Bulk_Density,Final_Volume_Reduction,Odor_Level,Decomposition_Rate,Time_Elapsed,Maturity_Index,Turning_Frequency
2024-03-11,MIXED,62.37,55.83,7.38,10.22,27.09,1.79,1.08,0.61,70.0,35.0,95.41,18.33,535.67,1.0235340000000002,3.88,2.02,50.67,7.087,6.24
2024-03-12,GREEN,59.39,60.0,7.89,8.99,29.47,2.0,0.5,0.62,55.29,25.18,92.7,8.5,624.9,1.737736,1.27,2.48,70.07,8.0,5.33
2024-03-13,GREEN,65.0,60.0,7.34,6.69,27.81,1.98,1.12,0.83,52.49,17.12,93.67,32.73,484.65,1.071437,2.86,2.39,44.83,6.872999999999999,5.09
2024-03-14,BROWN,60.28,43.69,7.32,10.7,26.46,1.51,1.5,0.35,49.63,24.48,118.5,19.38,364.66,0.9876360000000001,4.94,1.56,63.31,7.891,6.24
2024-03-15,MIXED,65.0,55.91,7.2,12.5,25.05,1.79,1.36,0.82,52.51,23.02,143.5,34.57,495.52,0.740322,2.8,1.98,37.39,5.718999999999999,6.88
2024-03-16,MIXED,65.0,56.25,8.0,5.24,25.62,1.82,1.25,0.81,70.0,18.76,111.17,6.26,339.63,0.58672,4.38,1.9,30.88,4.9879999999999995,6.08
2024-03-17,GREEN,64.2,60.0,7.25,12.15,25.11,1.99,0.81,0.63,62.18,18.05,131.39,43.8,487.36,0.869814,1.87,2.53,34.38,5.968,6.96
2024-03-18,MIXED,56.86,53.3,7.25,5.62,30.0,1.84,1.22,0.57,46.26,35.0,90.0,12.46,473.1,0.663656,1.49,1.96,33.86,5.346,6.88
2024-03-19,BROWN,65.0,46.12,6.71,10.82,28.02,1.5,0.65,0.64,57.56,22.74,150.0,28.64,428.69,1.012764,2.95,1.48,68.43,8.0,3.34
2024-03-20,MIXED,65.0,55.53,7.58,6.15,26.39,1.77,1.28,0.48,43.45,29.51,93.53,5.0,536.16,1.7238319999999998,1.84,2.09,82.48,8.0,7.0
2024-03-21,BROWN,65.0,43.27,6.77,11.85,25.17,1.5,1.03,0.85,62.59,19.68,95.32,24.13,545.65,0.8178,2.23,1.5,54.52,6.952,3.75
2024-03-22,BROWN,56.24,43.11,7.81,13.95,29.8,1.5,1.28,0.57,70.0,27.62,95.82,15.42,432.93,0.5304749999999999,1.73,1.65,32.15,4.865,6.23
2024-03-23,GREEN,65.0,60.0,7.93,13.68,26.58,2.0,0.52,0.37,61.47,35.0,141.29,26.52,600.97,0.808082,2.38,2.53,31.94,5.724,4.68
2024-03-24,BROWN,65.0,44.95,7.29,6.13,26.91,1.5,0.61,0.87,61.68,18.65,130.92,18.81,426.27,0.728018,1.38,1.37,53.14,6.684,7.0
2024-03-25,BROWN,65.0,45.17,6.59,6.36,28.8,1.5,1.28,0.9,55.89,19.14,150.0,31.71,577.48,0.9713990000000001,2.06,1.43,67.93,8.0,5.76
2024-03-26,MIXED,60.54,55.4,7.16,12.92,25.61,1.77,0.64,0.74,65.94,35.0,106.49,46.8,573.97,1.5990519999999997,5.0,1.91,83.72,8.0,4.73
2024-03-27,BROWN,65.0,42.85,6.79,7.75,27.97,1.5,0.5,0.75,70.0,33.8,142.28,12.76,566.18,0.48832000000000003,1.32,1.4,34.88,4.888,5.84
2024-03-28,GREEN,65.0,60.0,7.17,5.09,25.96,1.98,1.04,0.42,70.0,35.0,147.7,7.96,362.08,1.359872,1.51,2.56,53.12,7.872,4.62
2024-03-29,MIXED,65.0,55.39,7.34,12.18,28.81,1.83,0.61,0.54,59.5,28.56,132.72,19.38,430.0,1.11606,2.08,1.9,58.74,7.774000000000001,3.28
2024-03-30,GREEN,65.0,60.0,7.24,10.07,28.12,2.0,0.84,0.5,54.22,19.7,96.57,14.98,525.72,1.5056280000000002,1.7,2.43,61.96,8.0,4.13
2024-03-31,MIXED,63.49,53.86,7.18,7.61,28.26,1.85,1.07,0.87,48.92,22.88,124.3,40.54,300.0,0.597,2.41,1.99,30.0,4.99,4.24
2024-04-01,BROWN,63.89,44.99,7.21,10.68,28.16,1.56,1.27,0.74,70.0,35.0,90.0,12.89,422.41,0.8807259999999999,4.02,1.54,57.19,7.2589999999999995,3.71
